Порядковый номер,Идентификационный номер,Классификация очагов,Год обследования,"Периметр территории очагов,м","Площадь территории очагов,м2"
3620,1986,Действующий очаг,2017,180.5932007,1560.1074219
3621,1987,Без признаков поражения,2017,36.6004028,6.1642685
3622,1988,Затухающий очаг,2017,14.1745749,7.5382419
3623,1989,Без признаков поражения,2017,115.945137,669.1358032
3624,1990,Без признаков поражения,2017,29.1715679,29.7468166
3625,1991,Затухающий очаг,2017,13.1004591,11.2650776
3626,1992,Без признаков поражения,2017,43.2199478,113.8962936
3627,1993,Без признаков поражения,2017,19.9367828,8.449152
3628,1994,Без признаков поражения,2017,4.3650508,0
3629,1995,Действующий очаг,2017,218.5065155,614.7602539
3630,1996,Действующий очаг,2017,57.8846054,-149.6965485
3631,1997,Затухающий очаг,2017,15.4684839,11.2281141
3632,1998,Затухающий очаг,2017,99.8828506,1220.4102783
3633,1999,Действующий очаг,2017,539.8068848,2036.6591797
3634,2000,Действующий очаг,2017,56.1909485,-94.4783096
3635,2001,Действующий очаг,2017,30.1774082,23.0369091
3636,2002,Действующий очаг,2017,48.6449165,-34.8691406
3637,2003,Без признаков поражения,2017,129.0309448,380.276123
3638,2004,Действующий очаг,2017,216.7039642,-6824.9443359
3639,2005,Без признаков поражения,2017,39.8461838,42.4146271
3640,2006,Без признаков поражения,2017,27.2727203,73.1494827
3641,2007,Действующий очаг,2017,42.196846,112.6978378
3642,2008,Возникающий очаг,2017,26.4359474,52.6941147
3643,2009,Без признаков поражения,2017,42.2587204,15.2140427
3644,2010,Без признаков поражения,2017,11.0386658,7.6319146
3645,2011,Затухающий очаг,2017,21.1738758,17.7578583
3646,2012,Действующий очаг,2017,47.5946655,-65.0808029
3647,2013,Затухающий очаг,2017,18.6555805,8.5254326
3648,2014,Без признаков поражения,2017,22.9982204,26.3643284
3649,2015,Без признаков поражения,2017,21.6289978,25.5467052
3650,2016,Без признаков поражения,2017,16.4538918,17.7596798
3651,2017,Затухающий очаг,2017,87.3609467,-205.1060944
3652,2018,Без признаков поражения,2017,45.3947639,-172.2497711
3653,2019,Возникающий очаг,2017,148.8117065,1842.4661865
3654,2020,Действующий очаг,2017,74.4570084,305.8065491
3655,2021,Действующий очаг,2017,43.8560562,169.1834717
3656,2022,Возникающий очаг,2017,42.5846176,-95.9089508
3657,2023,Действующий очаг,2017,23.3547993,40.9498901
3658,2024,Действующий очаг,2017,39.1140785,171.8864746
3659,2025,Возникающий очаг,2017,15.3134422,13.675519
3660,2026,Вырублено,2017,121.7653961,471.0430908
